ciudad_municipio,unidad,tipo_unidad,codigo_cuadrante,cuadrante,numero_celular_cuadrante
AGUADA,ESTACION DE POLICIA AGUADA,ESTACION DE POLICIA AGUADA,DESANMNVCCD05E02000000001,1,3115327800
ALBANIA,ESTACION DE POLICIA ALBANIA,ESTACION DE POLICIA ALBANIA,DESANMNVCCD03E02000000001,1,3102762902
ARATOCA,ESTACION DE POLICIA ARATOCA,ESTACION DE POLICIA ARATOCA,DESANMNVCCD01E07000000001,1,3102790953
BARBOSA,ESTACION DE POLICIA BARBOSA,ESTACION DE POLICIA BARBOSA,DESANMNVCCD03E01000000001,1,3182923448
BARBOSA,ESTACION DE POLICIA BARBOSA,ESTACION DE POLICIA BARBOSA,DESANMNVCCD03E01000000002,2,3153381330
BARBOSA,ESTACION DE POLICIA BARBOSA,ESTACION DE POLICIA BARBOSA,DESANMNVCCD03E01000000003,3,3177111203
BARBOSA,ESTACION DE POLICIA BARBOSA,ESTACION DE POLICIA BARBOSA,DESANMNVCCD03E01000000004,4,3187742867
BARICHARA,ESTACION DE POLICIA BARICHARA,ESTACION DE POLICIA BARICHARA,DESANMNVCCD01E03000000001,1,3102970745
BETULIA,ESTACION DE POLICIA BETULIA,ESTACION DE POLICIA BETULIA,DESANMNVCCD08E02000000001,1,3144565301
BETULIA,ESTACION DE POLICIA BETULIA,SUBESTACION DE POLICIA TIENDA NUEVA,DESANMNVCCD08E02S01000001,1,3114536123
BOLIVAR,ESTACION DE POLICIA BOLIVAR,ESTACION DE POLICIA BOLIVAR,DESANMNVCCD05E03000000001,1,3103006231
CABRERA,ESTACION DE POLICIA CABRERA,ESTACION DE POLICIA CABRERA,DESANMNVCCD01E05000000001,1,3115817875
CALIFORNIA,ESTACION DE POLICIA CALIFORNIA,ESTACION DE POLICIA CALIFORNIA,DESANMNVCCD09E02000000001,1,3123306587
CAPITANEJO,ESTACION DE POLICIA CAPITANEJO,ESTACION DE POLICIA CAPITANEJO,DESANMNVCCD04E02000000001,1,3115704884
CARCASI,ESTACION DE POLICIA CARCASI,ESTACION DE POLICIA CARCASI,DESANMNVCCD04E03000000001,1,3134047915
CEPITA,ESTACION DE POLICIA CEPITA,ESTACION DE POLICIA CEPITA,DESANMNVCCD01E09000000001,1,3134899875
CERRITO,ESTACION DE POLICIA CERRITO,ESTACION DE POLICIA CERRITO,DESANMNVCCD04E04000000001,1,3108608967
CHARALA - BASE DE DISTRITO,ESTACION DE POLICIA CHARALA - BASE DE DISTRITO,ESTACION DE POLICIA CHARALA - BASE DE DISTRITO,DESANMNVCCD10E01000000001,1,3156104972
CHARTA,ESTACION DE POLICIA CHARTA,ESTACION DE POLICIA CHARTA,DESANMNVCCD09E03000000001,1,3124072675
CHIMA,ESTACION DE POLICIA CHIMA,ESTACION DE POLICIA CHIMA,DESANMNVCCD02E04000000001,1,3143948834
CHIPATA,ESTACION DE POLICIA CHIPATA,ESTACION DE POLICIA CHIPATA,DESANMNVCCD05E04000000001,1,3214424511
CIMITARRA,ESTACION DE POLICIA CIMITARRA,ESTACION DE POLICIA CIMITARRA,DESANMNVCCD07E01000000001,1,3016537835
CIMITARRA,ESTACION DE POLICIA CIMITARRA,ESTACION DE POLICIA CIMITARRA,DESANMNVCCD07E01000000002,2,3016537419
CIMITARRA,ESTACION DE POLICIA CIMITARRA,ESTACION DE POLICIA CIMITARRA,DESANMNVCCD07E01000000003,3,3016537501
CIMITARRA,ESTACION DE POLICIA CIMITARRA,SUBESTACION DE POLICIA PUERTO ARAUJO,DESANMNVCCD07E01S01000001,1,3217203070
CONCEPCION,ESTACION DE POLICIA CONCEPCION,ESTACION DE POLICIA CONCEPCION,DESANMNVCCD04E05000000001,1,3208838521
CONFINES,ESTACION DE POLICIA CONFINES,ESTACION DE POLICIA CONFINES,DESANMNVCCD02E02000000001,1,3105682688
CONTRATACION,ESTACION DE POLICIA CONTRATACION,ESTACION DE POLICIA CONTRATACION,DESANMNVCCD02E03000000001,1,3219339191
COROMORO,ESTACION DE POLICIA COROMORO,ESTACION DE POLICIA COROMORO,DESANMNVCCD10E06000000001,1,3138229262
COROMORO,ESTACION DE POLICIA COROMORO,SUBESTACION DE POLICIA CINCELADA,DESANMNVCCD10E06S01000001,1,3106191871
CURITI,ESTACION DE POLICIA CURITI,ESTACION DE POLICIA CURITI,DESANMNVCCD01E06000000001,1,3175774294
EL CARMEN,ESTACION DE POLICIA EL CARMEN,ESTACION DE POLICIA EL CARMEN,DESANMNVCCD08E03000000001,1,3132806988
EL GUACAMAYO,ESTACION DE POLICIA EL GUACAMAYO,ESTACION DE POLICIA EL GUACAMAYO,DESANMNVCCD02E05000000001,1,3212617651
EL HATO,ESTACION DE POLICIA EL HATO,ESTACION DE POLICIA EL HATO,DESANMNVCCD02E06000000001,1,3224072080
EL PALMAR,ESTACION DE POLICIA EL PALMAR,ESTACION DE POLICIA EL PALMAR,DESANMNVCCD02E07000000001,1,3204449626
EL PEÑON,ESTACION DE POLICIA EL PEÑON,ESTACION DE POLICIA EL PEÑON,DESANMNVCCD05E05000000001,1,3105677594
ENCINO,ESTACION DE POLICIA ENCINO,ESTACION DE POLICIA ENCINO,DESANMNVCCD10E05000000001,1,3203280122
ENCISO,ESTACION DE POLICIA ENCISO,ESTACION DE POLICIA ENCISO,DESANMNVCCD04E06000000001,1,3108856622
FLORIAN,ESTACION DE POLICIA FLORIAN,ESTACION DE POLICIA FLORIAN,DESANMNVCCD03E03000000001,1,3125646640
GALAN,ESTACION DE POLICIA GALAN,ESTACION DE POLICIA GALAN,DESANMNVCCD02E08000000001,1,3227309374
GAMBITA,ESTACION DE POLICIA GAMBITA,ESTACION DE POLICIA GAMBITA,DESANMNVCCD03E04000000001,1,3138217773
GUACA,ESTACION DE POLICIA GUACA,ESTACION DE POLICIA GUACA,DESANMNVCCD04E07000000001,1,3115281182
GUADALUPE,ESTACION DE POLICIA GUADALUPE,ESTACION DE POLICIA GUADALUPE,DESANMNVCCD02E09000000001,1,3105801520
GUAPOTA,ESTACION DE POLICIA GUAPOTA,ESTACION DE POLICIA GUAPOTA,DESANMNVCCD02E10000000001,1,3204042116
GUAVATA,ESTACION DE POLICIA GUAVATA,ESTACION DE POLICIA GUAVATA,DESANMNVCCD05E06000000001,1,3132030488
GUEPSA,ESTACION DE POLICIA GUEPSA,ESTACION DE POLICIA GUEPSA,DESANMNVCCD03E05000000001,1,3209280707
JESUS MARIA,ESTACION DE POLICIA JESUS MARIA,ESTACION DE POLICIA JESUS MARIA,DESANMNVCCD03E06000000001,1,3132429735
JORDAN SUBE,ESTACION DE POLICIA JORDAN SUBE,ESTACION DE POLICIA JORDAN SUBE,DESANMNVCCD01E08000000001,1,3202670162
LA BELLEZA,ESTACION DE POLICIA LA BELLEZA,ESTACION DE POLICIA LA BELLEZA,DESANMNVCCD03E07000000001,1,3125708149
LA PAZ,ESTACION DE POLICIA LA PAZ,ESTACION DE POLICIA LA PAZ,DESANMNVCCD05E07000000001,1,3214435734
LANDAZURI,ESTACION DE POLICIA LANDAZURI,ESTACION DE POLICIA LANDAZURI,DESANMNVCCD07E02000000001,1,3114997557
MACARAVITA,ESTACION DE POLICIA MACARAVITA,ESTACION DE POLICIA MACARAVITA,DESANMNVCCD04E08000000001,1,3106789769
MALAGA,ESTACION DE POLICIA MALAGA,ESTACION DE POLICIA MALAGA,DESANMNVCCD04E01000000001,1,3153371389
MALAGA,ESTACION DE POLICIA MALAGA,ESTACION DE POLICIA MALAGA,DESANMNVCCD04E01000000002,2,3153379482
MATANZA,ESTACION DE POLICIA MATANZA,ESTACION DE POLICIA MATANZA,DESANMNVCCD09E01000000001,1,3187397916
MOGOTES,ESTACION DE POLICIA MOGOTES,ESTACION DE POLICIA MOGOTES,DESANMNVCCD01E10000000001,1,3202230416
MOLAGAVITA,ESTACION DE POLICIA MOLAGAVITA,ESTACION DE POLICIA MOLAGAVITA,DESANMNVCCD04E09000000001,1,3108828214
OCAMONTE,ESTACION DE POLICIA OCAMONTE,ESTACION DE POLICIA OCAMONTE,DESANMNVCCD10E04000000001,1,3125704248
OIBA,ESTACION DE POLICIA OIBA,ESTACION DE POLICIA OIBA,DESANMNVCCD02E11000000001,1,3202608309
ONZAGA,ESTACION DE POLICIA ONZAGA,ESTACION DE POLICIA ONZAGA,DESANMNVCCD01E12000000001,1,3143805907
PALMAS DEL SOCORRO,ESTACION DE POLICIA PALMAS DEL SOCORRO,ESTACION DE POLICIA PALMAS DEL SOCORRO,DESANMNVCCD02E12000000001,1,3215907235
PARAMO,ESTACION DE POLICIA PARAMO,ESTACION DE POLICIA PARAMO,DESANMNVCCD10E02000000001,1,3202172957
PINCHOTE,ESTACION DE POLICIA PINCHOTE,ESTACION DE POLICIA PINCHOTE,DESANMNVCCD01E02000000001,1,3202232851
PLAYON,ESTACION DE POLICIA PLAYON,ESTACION DE POLICIA PLAYON,DESANMNVCCD06E02000000001,1,3157139482
PUENTE NACIONAL,ESTACION DE POLICIA PUENTE NACIONAL,ESTACION DE POLICIA PUENTE NACIONAL,DESANMNVCCD03E08000000001,1,3132549469
RIONEGRO,ESTACION DE POLICIA RIONEGRO,ESTACION DE POLICIA RIONEGRO,DESANMNVCCD06E03000000001,1,3174034275
RIONEGRO,ESTACION DE POLICIA RIONEGRO,SUBESTACION DE POLICIA SAN RAFAEL DE LEBRIJA,DESANMNVCCD06E03S01000001,1,3174541222
SABANA DE TORRES,ESTACION DE POLICIA SABANA DE TORRES,ESTACION DE POLICIA SABANA DE TORRES,DESANMNVCCD06E01000000001,1,3162663682
SABANA DE TORRES,ESTACION DE POLICIA SABANA DE TORRES,ESTACION DE POLICIA SABANA DE TORRES,DESANMNVCCD06E01000000002,2,3177684746
SABANA DE TORRES,ESTACION DE POLICIA SABANA DE TORRES,SUBESTACION DE POLICIA PROVINCIA,DESANMNVCCD06E01S02000001,1,3172750720
SAN ANDRES,ESTACION DE POLICIA SAN ANDRES,ESTACION DE POLICIA SAN ANDRES,DESANMNVCCD04E10000000001,1,3114439639
SAN BENITO,ESTACION DE POLICIA SAN BENITO,ESTACION DE POLICIA SAN BENITO,DESANMNVCCD03E09000000001,1,3227167539
SAN GIL,ESTACION DE POLICIA SAN GIL,ESTACION DE POLICIA SAN GIL,DESANMNVCCD01E01000000001,1,3165446477
SAN GIL,ESTACION DE POLICIA SAN GIL,ESTACION DE POLICIA SAN GIL,DESANMNVCCD01E01000000002,2,3173185937
SAN GIL,ESTACION DE POLICIA SAN GIL,ESTACION DE POLICIA SAN GIL,DESANMNVCCD01E01000000003,3,3166520149
SAN GIL,ESTACION DE POLICIA SAN GIL,ESTACION DE POLICIA SAN GIL,DESANMNVCCD01E01000000004,4,3153371568
SAN JOAQUIN,ESTACION DE POLICIA SAN JOAQUIN,ESTACION DE POLICIA SAN JOAQUIN,DESANMNVCCD01E11000000001,1,3143797855
SAN JOSE DE MIRANDA,ESTACION DE POLICIA SAN JOSE DE MIRANDA,ESTACION DE POLICIA SAN JOSE DE MIRANDA,DESANMNVCCD04E11000000001,1,3174675978
SAN MIGUEL,ESTACION DE POLICIA SAN MIGUEL,ESTACION DE POLICIA SAN MIGUEL,DESANMNVCCD04E12000000001,1,3112466348
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,DESANMNVCCD08E01000000001,1,3174597663
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,DESANMNVCCD08E01000000002,2,3153371274
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,SUBESTACION DE POLICIA YARIMA,DESANMNVCCD08E01S01000001,1,3204909674
SANTA BARBARA,ESTACION DE POLICIA SANTA BARBARA,ESTACION DE POLICIA SANTA BARBARA,DESANMNVCCD04E13000000001,1,3134210606
SANTA HELENA DEL OPON,ESTACION DE POLICIA SANTA HELENA DEL OPON,ESTACION DE POLICIA SANTA HELENA DEL OPON,DESANMNVCCD05E08000000001,1,3125963168
SIMACOTA,ESTACION DE POLICIA SIMACOTA,ESTACION DE POLICIA SIMACOTA,DESANMNVCCD02E13000000001,1,3108053385
SOCORRO,ESTACION DE POLICIA SOCORRO,ESTACION DE POLICIA SOCORRO,DESANMNVCCD02E01000000001,1,3153377828
SOCORRO,ESTACION DE POLICIA SOCORRO,ESTACION DE POLICIA SOCORRO,DESANMNVCCD02E01000000002,2,3172124594
SUAITA,ESTACION DE POLICIA SUAITA,ESTACION DE POLICIA SUAITA,DESANMNVCCD03E10000000001,1,3133819613
SUAITA,ESTACION DE POLICIA SUAITA,SUBESTACION DE POLICIA SAN JOSE DE SUAITA,DESANMNVCCD03E10S01000001,1,3204082919
SUAITA,ESTACION DE POLICIA SUAITA,SUBESTACION DE POLICIA VADO REAL,DESANMNVCCD03E10S02000001,1,3204082935
SUCRE,ESTACION DE POLICIA SUCRE,ESTACION DE POLICIA SUCRE,DESANMNVCCD03E11000000001,1,3143882155
SUCRE,ESTACION DE POLICIA SUCRE,SUBESTACION DE POLICIA LA GRANJA,DESANMNVCCD03E11S01000001,1,3138294993
SURATA,ESTACION DE POLICIA SURATA,ESTACION DE POLICIA SURATA,DESANMNVCCD09E04000000001,1,3123297839
TONA,ESTACION DE POLICIA TONA,ESTACION DE POLICIA TONA,DESANMNVCCD09E05000000001,1,3124407147
TONA,ESTACION DE POLICIA TONA,SUBESTACION DE POLICIA BERLIN,DESANMNVCCD09E05S01000001,1,3144654137
VALLE DE SAN JOSE,ESTACION DE POLICIA VALLE DE SAN JOSE,ESTACION DE POLICIA VALLE DE SAN JOSE,DESANMNVCCD10E03000000001,1,3133382385
VELEZ,ESTACION DE POLICIA VELEZ,ESTACION DE POLICIA VELEZ,DESANMNVCCD05E01000000001,1,3186784159
VELEZ,ESTACION DE POLICIA VELEZ,ESTACION DE POLICIA VELEZ,DESANMNVCCD05E01000000002,2,3153160637
VETAS,ESTACION DE POLICIA VETAS,ESTACION DE POLICIA VETAS,DESANMNVCCD09E06000000001,1,3202092904
VILLANUEVA,ESTACION DE POLICIA VILLANUEVA,ESTACION DE POLICIA VILLANUEVA,DESANMNVCCD01E04000000001,1,3143849395
ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,DESANMNVCCD08E04000000001,1,3143976019
ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,SUBESTACION DE POLICIA LA FUENTE,DESANMNVCCD08E04S01000001,1,3115426159
